experimenter,RA,location,study name,IRB_protocol,subid,study version,gender,hisp,ethnicity,english,numlang,parented,othered,premie,xcalib,ycalib,consent,age,agegroup,exclude,notes,,
AEN,AEN,CDM,negtracker,19960,120612_07,5_3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.595,1.5775,1,1.833333333,1,2,no data (early fussing),,
AEN,AEN,CDM,negtracker,19960,120612_08,5_3,female,no,other,25,2,4,4,no,1.38,2.905,0,NaN,NaN,1,no english,,
AEN,AEN,CDM,negtracker,19960,120612_09,5_3,male,no,white,100,1,4,4,no,1.0125,2.0275,1,1.152635181,1,0,,,
AEN,AEN,CDM,negtracker,19960,120612_10,5_3,male,no,white,90,1,5,2,no,0.6725,0.73,0,2.061601643,2,0,,,
AEN,AEN,CDM,negtracker,19960,120612_11,5_3,male,no,asian,50,3,3,6,no,0.5275,0.6,0,1.470225873,1,1,no english,,
AEN,AEN,CDM,negtracker,19960,120612_12,5_3,female,yes,other,75,2,2,3,no,0.7425,1.5975,1,1.481177276,1,0,,,
AEN,AEN,CDM,negtracker,19960,120812_01,5_4,female,no,white,90,2,6,6,no,0.75,1.7375,1,1.943874059,1,0,,,
AEN,AEN,CDM,negtracker,19960,120812_02,5_4,female,no,white,90,2,6,6,no,6.3525,6.42,1,3.162217659,3,0,poor calibration,,
AEN,AEN,CDM,negtracker,19960,120812_03,5_4,male,no,white,90,2,4,6,no,2.0725,1.4625,1,1.415468857,1,0,,,
AEN,AEN,CDM,negtracker,19960,120812_04,5_4,female,no,asian,25,3,6,6,no,1.7325,4.1825,1,1.979466119,1,1,no english,,
AEN,AEN,CDM,negtracker,19960,120812_05,5_4,female,no,other,100,1,4,3,no,4.1475,7.795,1,3.403148528,3,0,,,
AEN,AEN,CDM,negtracker,19960,120812_06,5_4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,2,no data (early fussing),,
