bank,item,a,d
eng_comprehension_full,couch,2.60387650188798,-1.567277806417015
eng_comprehension_full,cow,2.0780517792711937,-0.5218524893190591
eng_comprehension_full,cracker,1.8328402661968548,0.7660479635053241
eng_comprehension_full,crib,1.5775507477921986,-0.5101215049422579
eng_comprehension_full,cry,2.102283112486943,-0.9458260009989745
eng_comprehension_full,cup,2.6373742408670497,1.3600659967224016
eng_comprehension_full,cute,1.4734952787499764,-2.1886843434537457
eng_comprehension_full,daddy*,0.8280364762064479,3.3327211165395796
eng_comprehension_full,dance,2.0476004734258337,0.7401015879395757
eng_comprehension_full,dark,2.7586530726469487,-4.404538237746502
eng_comprehension_full,day,2.0883883261113985,-4.021720763557379
eng_comprehension_full,deer,2.1597791866782465,-3.816487499557446
eng_comprehension_full,diaper,2.917455333904219,2.4774729689755635
eng_comprehension_full,dinner,2.0338989528524904,-0.49544526722347115
eng_comprehension_full,dirty,2.143592758753469,-1.0743249356683995
eng_comprehension_full,dish,2.2907145591437805,-2.575492611975469
eng_comprehension_full,dog,1.9320873398915688,2.1916031000501905
eng_comprehension_full,doll,1.4737107119205035,-0.4476059797311319
eng_comprehension_full,don't,1.4807868032036378,0.7221535882241541
eng_comprehension_full,donkey,1.9448471474670892,-3.7010353441680848
eng_comprehension_full,door,3.0919262802690177,0.5048014009920627
eng_comprehension_full,down,2.0232399638528618,0.19001853772328675
eng_comprehension_full,draw,2.2207463492731754,-2.7305492427357745
eng_comprehension_full,drawer,2.014372911015126,-2.1126350056618466
eng_comprehension_full,dress (object),1.8071287796431599,-2.5002729348186223
eng_comprehension_full,drink (action),2.4529014847815507,1.3476105293121232
eng_comprehension_full,drink (beverage),1.8034119814813796,0.6788160299399838
eng_comprehension_full,drive,2.3408946432931192,-2.3690946061066667
eng_comprehension_full,dry (description),2.6148784187563985,-3.679965589461692
eng_comprehension_full,duck,1.9620128251276876,0.2582692533745782
eng_comprehension_full,ear,2.6627446923892175,-0.03197096087522758
eng_comprehension_full,eat,2.257828506054801,1.2787288748747898
eng_comprehension_full,egg,2.0470641558561797,-2.1737929171661596
eng_comprehension_full,elephant,2.1492692276630345,-2.042218673917399
eng_comprehension_full,empty,1.7218448578448027,-1.590118329980451
eng_comprehension_full,eye,2.497047963668378,0.5729857003904596
eng_comprehension_full,face,2.430909594215392,-1.8430733896799942
eng_comprehension_full,fall,2.617912642235859,-1.7172502294544247
eng_comprehension_full,fast,2.8436537337681145,-4.596627044869433
eng_comprehension_full,feed,2.2818007844873094,-2.3933459765557905
eng_comprehension_full,fine,2.7254772408158905,-7.023036967263422
eng_comprehension_full,finger,2.5654942632804505,-1.0145376800321446
eng_comprehension_full,finish,1.997612838997653,-2.895013805437941
eng_comprehension_full,firetruck,1.8841816994707072,-2.2965688046547488
eng_comprehension_full,fish (animal),2.067580036939052,-0.5810648101974761
eng_comprehension_full,fish (food),2.078204452543636,-2.850123308393617
eng_comprehension_full,flower,2.633990190704919,-0.741656546894884
eng_comprehension_full,food,1.9099729304941155,-0.9250396985438168
eng_comprehension_full,foot,2.7845687172107874,0.48765903901054297
eng_comprehension_full,fork,2.599707424168133,-1.904431651436628
eng_comprehension_full,frog,2.155214962643172,-1.9936777414514368
eng_comprehension_full,garage,1.8461881772344646,-2.5925402979361625
eng_comprehension_full,garden,1.9408971735400689,-3.71761384052423
eng_comprehension_full,gentle,1.3971006467816127,-0.7493860648628293
eng_comprehension_full,get,2.126667444796057,0.2112514119080372
eng_comprehension_full,giraffe,2.2082508643275416,-3.047498162886926
eng_comprehension_full,girl,1.9274090441310106,-2.5022240333219297
eng_comprehension_full,give,2.0535383703275927,0.7779065375594546
eng_comprehension_full,glass,2.3762649607623763,-2.5051284904678845
eng_comprehension_full,glasses,2.0201878303388137,-0.7722497311051257
eng_comprehension_full,go,2.3404966389997734,0.4503791664485306
eng_comprehension_full,good,1.5085006279307032,-0.22769481309900172
eng_comprehension_full,goose,2.273917058013972,-3.798459554459521
eng_comprehension_full,grandma*,1.004500601492411,0.8153998974114817
eng_comprehension_full,grandpa*,0.9527284670225239,0.1773650730413924
eng_comprehension_full,grrr,1.2188746726140818,-0.04354026872057863
eng_comprehension_full,hair,3.04448740659769,0.46718258731373025
eng_comprehension_full,hammer,1.7515467090789252,-2.724177820728313
eng_comprehension_full,hand,2.546265122285879,-0.2483965787856726
eng_comprehension_full,happy,1.910364824870508,-2.0233778019787296
eng_comprehension_full,hard,3.0748361169713925,-5.485796602775743
eng_comprehension_full,hat,2.2198122521326216,0.075881208355997945
