target_side,vanilla_trial,condition,target_id,distractor_id,full_phrase,trial_type_id,dataset_id,lab_trial_id,aoi_region_set_id,point_of_disambiguation,full_phrase_language,trial_type_aux_data
right,TRUE,Colors_familiar,4,5,Baby Canyoufindthe_ Baby,164,0,Colors_familiar-Baby-Car,NA,0,eng,NA
left,TRUE,Colors_familiar,6,4,Kitty Wheresthe_ Kitty,165,0,Colors_familiar-Kitty-Baby,NA,0,eng,NA
right,TRUE,Colors_familiar,8,3,Ball Canyoufindthe_ Ball,166,0,Colors_familiar-Ball-Dog,NA,0,eng,NA
right,FALSE,Colors_novel,1,2,Lif Canyoufindthe_ Lif,167,0,Colors_novel-Lif-FribbleB,NA,0,eng,NA
left,TRUE,Colors_familiar,5,4,Car Wheresthe_ Car,168,0,Colors_familiar-Car-Baby,NA,0,eng,NA
right,TRUE,Colors_familiar,5,0,Car Canyoufindthe_ Car,169,0,Colors_familiar-Car-Shoe,NA,0,eng,NA
left,TRUE,Colors_familiar,0,6,Shoe Canyoufindthe_ Shoe,170,0,Colors_familiar-Shoe-Kitty,NA,0,eng,NA
left,FALSE,Colors_novel,9,7,Lif Wheresthe_ Lif,171,0,Colors_novel-Lif-FribbleA,NA,0,eng,NA
right,FALSE,Colors_novel,9,7,Lif Wheresthe_ Lif,172,0,Colors_novel-Lif-FribbleA,NA,0,eng,NA
right,TRUE,Colors_familiar,3,6,Dog Canyoufindthe_ Dog,173,0,Colors_familiar-Dog-Kitty,NA,0,eng,NA
left,TRUE,Colors_familiar,8,3,Ball Canyoufindthe_ Ball,174,0,Colors_familiar-Ball-Dog,NA,0,eng,NA
left,FALSE,Colors_novel,2,1,Neem Canyoufindthe_ Neem,175,0,Colors_novel-Neem-FribbleA,NA,0,eng,NA
right,TRUE,Colors_familiar,3,6,Dog Wheresthe_ Dog,176,0,Colors_familiar-Dog-Kitty,NA,0,eng,NA
left,FALSE,Colors_novel,1,2,Lif Canyoufindthe_ Lif,177,0,Colors_novel-Lif-FribbleB,NA,0,eng,NA
left,TRUE,Colors_familiar,0,3,Shoe Wheresthe_ Shoe,178,0,Colors_familiar-Shoe-Dog,NA,0,eng,NA
right,TRUE,Colors_familiar,6,4,Kitty Canyoufindthe_ Kitty,179,0,Colors_familiar-Kitty-Baby,NA,0,eng,NA
left,TRUE,Labels_familiar,0,8,Shoe Canyoufindthe_ Shoe,180,0,Labels_familiar-Shoe-Ball,NA,0,eng,NA
left,FALSE,Labels_novel,7,9,Neem Wheresthe_ Neem,181,0,Labels_novel-Neem-FribbleB,NA,0,eng,NA
right,FALSE,Labels_novel,9,7,Lif Wheresthe_ Lif,182,0,Labels_novel-Lif-FribbleA,NA,0,eng,NA
right,TRUE,Labels_familiar,4,0,Baby Canyoufindthe_ Baby,183,0,Labels_familiar-Baby-Shoe,NA,0,eng,NA
right,TRUE,Labels_familiar,8,5,Ball Canyoufindthe_ Ball,184,0,Labels_familiar-Ball-Car,NA,0,eng,NA
right,FALSE,Labels_novel,7,9,Neem Wheresthe_ Neem,185,0,Labels_novel-Neem-FribbleB,NA,0,eng,NA
left,TRUE,Labels_familiar,6,4,Kitty Wheresthe_ Kitty,186,0,Labels_familiar-Kitty-Baby,NA,0,eng,NA
left,FALSE,Labels_novel,9,7,Lif Canyoufindthe_ Lif,187,0,Labels_novel-Lif-FribbleA,NA,0,eng,NA
left,TRUE,Labels_familiar,0,6,Shoe Wheresthe_ Shoe,188,0,Labels_familiar-Shoe-Kitty,NA,0,eng,NA
left,FALSE,Labels_novel,7,9,Neem Canyoufindthe_ Neem,189,0,Labels_novel-Neem-FribbleB,NA,0,eng,NA
right,TRUE,Labels_familiar,8,0,Ball Canyoufindthe_ Ball,190,0,Labels_familiar-Ball-Shoe,NA,0,eng,NA
right,FALSE,Labels_novel,9,7,Lif Wheresthe_ Lif,191,0,Labels_novel-Lif-FribbleA,NA,0,eng,NA
right,TRUE,Labels_familiar,6,8,Kitty Wheresthe_ Kitty,192,0,Labels_familiar-Kitty-Ball,NA,0,eng,NA
left,FALSE,Labels_novel,9,7,Lif Canyoufindthe_ Lif,193,0,Labels_novel-Lif-FribbleA,NA,0,eng,NA
left,TRUE,Labels_familiar,4,6,Baby Canyoufindthe_ Baby,194,0,Labels_familiar-Baby-Kitty,NA,0,eng,NA
right,FALSE,Labels_novel,7,9,Neem Wheresthe_ Neem,195,0,Labels_novel-Neem-FribbleB,NA,0,eng,NA
right,TRUE,Labels_familiar,3,8,Dog Canyoufindthe_ Dog,196,0,Labels_familiar-Dog-Ball,NA,0,eng,NA
left,FALSE,Labels_novel,1,2,Lif Wheresthe_ Lif,197,0,Labels_novel-Lif-FribbleB,NA,0,eng,NA
right,FALSE,Labels_novel,2,1,Neem Canyoufindthe_ Neem,198,0,Labels_novel-Neem-FribbleA,NA,0,eng,NA
left,TRUE,Labels_familiar,5,3,Car Wheresthe_ Car,199,0,Labels_familiar-Car-Dog,NA,0,eng,NA
right,FALSE,Labels_novel,1,2,Lif Wheresthe_ Lif,200,0,Labels_novel-Lif-FribbleB,NA,0,eng,NA
